original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,confidence_city_level,state_code,country,confidence_street_level,country_code,confidence,attribution,attribution_license,attribution_url
Gare Saint-Sauveur,50.6271914,3.0724595821149396,"Gare Saint-Sauveur, Rue Camille Guérin, 59000 Lille, France",Gare Saint-Sauveur,,Rue Camille Guérin,59000,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Musée de l'Institut Pasteur,50.6286689,3.0743084,"Musée de l'Institut Pasteur de Lille, Boulevard Louis XIV, 59000 Lille, France",Musée de l'Institut Pasteur de Lille,,Boulevard Louis XIV,59000,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Université Catholique de Lille,50.632726649999995,3.045020140192894,"Université catholique de Lille, 60 Boulevard Vauban, 59000 Lille, France",Université catholique de Lille,60,Boulevard Vauban,59000,Lille,Vauban-Esquermes,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Square Dutilleul,50.6363647,3.0554016,"Square Dutilleul, 59800 Lille, France",Square Dutilleul,,Square Dutilleul,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,1,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lille Grand Palais,50.632538,3.0781436362934373,"Lille Grand Palais, 1 Boulevard des Cités Unies, 59000 Lille, France",Lille Grand Palais,1,Boulevard des Cités Unies,59000,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Tripostal,50.6366637,3.0728035,"Le Tripostal, Avenue Willy Brandt, 59000 Lille, France",Le Tripostal,,Avenue Willy Brandt,59000,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Lille Métropole Musée d'art moderne, d'art contemporain et d'art brut (LaM)",50.637462,3.150363,"LaM Lille Métropole - Musée d'Art Moderne, d'Art Comptemporain et d'Art Brut, 1 Allée du Musée, 59650 Villeneuve-d'Ascq, France","LaM Lille Métropole - Musée d'Art Moderne, d'Art Comptemporain et d'Art Brut",1,Allée du Musée,59650,Villeneuve-d'Ascq,,Villeneuve-d'Ascq,Nord,Hauts-de-France,0.10824545454545453,HDF,France,0.09742090909090909,fr,0.1605243020547946,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Furet du Nord,50.636649,3.0629632,"Furet du Nord, Place du Général de Gaulle, 59800 Lille, France",Furet du Nord,,Place du Général de Gaulle,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hôtel Carlton,50.6367618,3.0653555,"Hôtel Carlton, Rue Pierre Mauroy, 59800 Lille, France",Hôtel Carlton,,Rue Pierre Mauroy,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marché de Wazemmes,50.6260738,3.0497445,"Marché de Wazemmes, Place de la Nouvelle Aventure, 59046 Lille, France",Marché de Wazemmes,,Place de la Nouvelle Aventure,59046,Lille,Wazemmes,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Les Halles de Wazemmes,50.626686250000006,3.0492756435910224,"Les Halles, Place de la Nouvelle Aventure, 59046 Lille, France",Les Halles,,Place de la Nouvelle Aventure,59046,Lille,Wazemmes,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Place du Théâtre,50.6379959,3.0638572,"Place du Théâtre, 59800 Lille, France",Place du Théâtre,,Place du Théâtre,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,1,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fort de Mons-en-Barœul,50.6448457,3.1201574,"Fort de Mons, Fossé, 59370 Mons-en-Barœul, France",Fort de Mons,,Fossé,59370,,,Mons-en-Barœul,Nord,Hauts-de-France,,HDF,France,,fr,0.6,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fort de Mons-en-Barœul,50.6448457,3.1201574,"Fort de Mons, Fossé, 59370 Mons-en-Barœul, France",Fort de Mons,,Fossé,59370,,,Mons-en-Barœul,Nord,Hauts-de-France,,HDF,France,,fr,0.6,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
