original_name,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Institut d'Études Politiques de Lille (Sciences Po Lille),45.747115550000004,4.835376800966607,"Institut d'Études Politiques de Lyon, Avenue Berthelot, 69007 Lyon, France",Institut d'Études Politiques de Lyon,,Avenue Berthelot,69007,,Lyon 7e Arrondissement,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,ARA,France,fr,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quartier Saint-Sauveur lille,50.63233875,3.069602712537998,"Quartier Saint-Sauveur, Lille-Centre, Lille, Nord, France",Quartier Saint-Sauveur,,,,Lille,Lille-Centre,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Palais Rihour lille,50.634772350000006,3.0607701307147366,"Le Morrison, Rue du Palais Rihour, 59800 Lille, France",Le Morrison,,Rue du Palais Rihour,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Musée des Canonniers lille,50.6408753,3.0693702,"Musée des canonniers sédentaires de Lille, 44 Rue des Canonniers, 59000 Lille, France",Musée des canonniers sédentaires de Lille,44,Rue des Canonniers,59000,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc Naturel Urbain de Lomme lille,50.6559883,2.983670461876879,"Parc Naturel Urbain de Lomme, 59160 Lille, France",Parc Naturel Urbain de Lomme,,,59160,,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Musée de la Piscine lille,43.715754,-0.833769,"480 Le Musée de la Chalosse, 40380 Montfort-en-Chalosse, France",,480,Le Musée de la Chalosse,40380,Montfort-en-Chalosse,,Montfort-en-Chalosse,Landes,Nouvelle-Aquitaine,NAQ,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ferme pédagogique Marcel Dhénin lille,50.63745595,3.0800493243065534,"La ferme pédagogique Marcel Dhénin, Fives, Lille, Nord, France",La ferme pédagogique Marcel Dhénin,,,,Lille,Fives,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marché de la Place du Concert lille,50.642714,3.061058,"Place du Concert, 59800 Lille, France",,,Place du Concert,59800,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Faubourg des Modes lille,45.908115,6.119193,"Le Jardin des Modes, 74000 Annecy, France",Le Jardin des Modes,,,74000,Annecy,Annecy,Annecy,Haute-Savoie,Auvergne-Rhône-Alpes,ARA,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Fives Cail lille,50.6260312,3.0945462121997744,"ZAC ""Fives Cail"" - Phase 2, Fives, Lille, Nord, France","ZAC ""Fives Cail"" - Phase 2",,,,Lille,Fives,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Atelier 2 - Centre d'art contemporain lille,49.445927,6.022819,"2 Rue De Atelier, 57840 Ottange, France",,2,Rue De Atelier,57840,Ottange,,Ottange,Moselle,Grand Est,GES,France,fr,0,© OpenAddresses contributors,BSD-3-Clause License,
Le Musée du Jouet lille,48.928485,2.037969,"Musée du Jouet, 78300 Poissy, France",,,Musée du Jouet,78300,Poissy,,Poissy,Yvelines,Île-De-France,IDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Grand Sud lille,50.6110532,3.054949756378342,"Le Grand Sud, Rue de l'Europe, 59155 Lille, France",Le Grand Sud,,Rue de l'Europe,59155,Lille,Lille-Sud,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Parc Jean-Baptiste Lebas lille,50.626279,3.068429,"Boulevard Jean-Baptiste Lebas, 59000 Lille, France",,,Boulevard Jean-Baptiste Lebas,59000,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Chapelle des Carmes de Lille,50.645042,3.054054,"Couvent des Carmes de Lille, 59043 Lille, France",Couvent des Carmes de Lille,,,59043,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Marché de la Place Sébastopol lille,50.629048,3.057116,"Place Sébastopol, 59000 Lille, France",,,Place Sébastopol,59000,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Café Citoyen lille,50.63277,3.063426,"Café Citoyen, 59000 Lille, France",,,Café Citoyen,59000,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Musée Hospitalier Régional de Lille,46.159575,4.171281,"Musée de la Soierie & Musée Hospitalier, 42190 Charlieu, France",Musée de la Soierie & Musée Hospitalier,,,42190,Charlieu,,Charlieu,Loire,Auvergne-Rhône-Alpes,ARA,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Fort de Seclin lille,50.556107,3.053733,"Fort de Seclin, Chemin du fort, 59113 Seclin, France",Fort de Seclin,,Chemin du fort,59113,Seclin,,Seclin,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Collège de Marcq-en-Barœul lille,50.6840009,3.1053892,"Rue du Collège, 59700 Marcq-en-Barœul, France",Rue du Collège,,Rue du Collège,59700,,Parc Europe,Marcq-en-Barœul,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Parc des Dondaines lille,50.636006,3.084719,"Rue des Dondaines, 59800 Lille, France",,,Rue des Dondaines,59800,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
