original_name,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Gare Saint-Sauveur lille,50.6271914,3.0724595821149396,"Gare Saint-Sauveur, Rue Camille Guérin, 59000 Lille, France",Gare Saint-Sauveur,,Rue Camille Guérin,59000,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Musée de l'Institut Pasteur lille,50.6286689,3.0743084,"Musée de l'Institut Pasteur de Lille, Boulevard Louis XIV, 59000 Lille, France",Musée de l'Institut Pasteur de Lille,,Boulevard Louis XIV,59000,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Université Catholique de Lille,50.632877,3.046541,"Université catholique de Lille, 60 Boulevard Vauban, 59000 Lille, France",Université catholique de Lille,60,Boulevard Vauban,59000,Lille,,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Square Dutilleul lille,50.6363647,3.0554016,"Square Dutilleul, 59800 Lille, France",Square Dutilleul,,Square Dutilleul,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Lille Grand Palais,50.632538,3.0781436362934373,"Lille Grand Palais, 1 Boulevard des Cités Unies, 59000 Lille, France",Lille Grand Palais,1,Boulevard des Cités Unies,59000,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Le Tripostal lille,50.6366637,3.0728035,"Le Tripostal, Avenue Willy Brandt, 59000 Lille, France",Le Tripostal,,Avenue Willy Brandt,59000,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Lille Métropole Musée d'art moderne, d'art contemporain et d'art brut (LaM)",50.637462,3.150363,"LaM Lille Métropole - Musée d'Art Moderne, d'Art Comptemporain et d'Art Brut, 1 Allée du Musée, 59650 Villeneuve-d'Ascq, France","LaM Lille Métropole - Musée d'Art Moderne, d'Art Comptemporain et d'Art Brut",1,Allée du Musée,59650,Villeneuve-d'Ascq,,Villeneuve-d'Ascq,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Furet du Nord lille,50.636649,3.0629632,"Furet du Nord, Place du Général de Gaulle, 59800 Lille, France",Furet du Nord,,Place du Général de Gaulle,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hôtel Carlton lille,50.6367618,3.0653555,"Hôtel Carlton, Rue Pierre Mauroy, 59800 Lille, France",Hôtel Carlton,,Rue Pierre Mauroy,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Marché de Wazemmes lille,50.6260738,3.0497445,"Marché de Wazemmes, Place de la Nouvelle Aventure, 59046 Lille, France",Marché de Wazemmes,,Place de la Nouvelle Aventure,59046,Lille,Wazemmes,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
